"UMAP1","UMAP2"
-6.50376848382285,-6.11339511546965
-4.10710148019126,3.37182603206758
-5.09710888070395,5.68579683628206
1.43096121149728,-6.9115427938449
3.83749814825723,-8.19932784709807
12.3162483771391,0.134100058938306
10.7965035040922,-0.212061232064922
2.65400584536264,-4.51112975749846
-0.179703215783145,1.88178477611665
-6.29551700753501,4.5651999506009
4.59984989958474,-4.64085998210784
10.8575911124296,-0.221470272277553
-6.12084392709067,4.64794407215242
-0.218470970814731,1.40827510681276
-7.15243438882163,1.3428164514554
9.19119592505166,-2.17838802013274
5.34854789572427,-0.0349414554583619
6.96105428534219,-6.15984000835295
-6.35810188454917,-4.31535424861785
8.4695329268522,-5.88936414394255
13.0957817633695,6.93251142826204
2.62221785383889,-0.489660902057845
-1.14295522374442,13.3333226236356
-6.77549366158774,-2.38175716075774
-6.8508205811434,-6.62313069972869
-8.83634237450888,6.96397981968049
3.3599457343168,-3.45513453159209
10.8749651511259,2.65396318760041
4.73038836317727,-6.67220582637664
11.3879065115995,-1.45363917026397
-7.16400388879111,-2.11202778491851
-5.2706318299227,3.32727203693513
-5.32221655053427,8.24352274265413
-4.79194788140586,7.1471205743802
-7.43500951928427,-2.01863624725219
12.7023663123197,-0.272371983264644
-3.3784633080416,-0.664518406723697
-7.25045541924765,2.79618940677766
-13.3342891137057,0.111067483092587
-2.82365159196189,4.03471765842561
7.72737642126748,-6.97317161235686
-5.69364790124228,-1.83429922733184
-7.09250883263877,-1.9957461563098
-5.91011957330039,3.00893984165315
-4.74269870919516,4.09030590381746
-5.68299535912802,-6.00588454875823
-0.528127233212497,13.4902964624417
1.64760686951349,-8.03112401637908
-6.68100456399253,-6.18148173961516
-6.65113310021689,2.96029386844758
-7.21482900780966,4.68556270923738
5.59258838492105,-0.279437607263286
4.48049374418924,-6.08707179698821
7.67892261343667,-7.33526839885588
6.15099759894082,-4.03639354381438
0.641241108352635,-6.78902997646208
-0.669444481556918,1.69172726001863
-6.75384382409384,-4.95397891673918
3.12535544233987,-8.73112191829558
2.80650730925271,-8.14785089168425
-7.34881071252158,-1.47012915286895
1.80402143793771,-4.35242547664519
-7.93436769646933,-5.00965966853972
3.30984588461587,-4.41260661754485
2.17615719633767,-2.28424491557952
11.4846825202055,1.21903131332521
-8.36342100304892,-4.85177650127288
-6.88255218667319,4.77808819141511
0.166187663847898,-5.31462897930022
1.45382603007028,-7.1124476400363
-1.05856708688071,3.43420014705781
-5.00622562569907,3.3586045297635
2.86085673170755,-1.72673084411498
-3.8234301011019,2.65319953289155
-7.17890171212485,-6.24730624828215
-7.5057073037081,-4.17760433826323
-5.67214254540732,3.92488918628816
-3.29846243066123,5.2834583314908
-7.26472334069541,1.702143529321
2.42607661085794,-0.990521093939502
-3.79316667718222,-2.35764314803954
7.97749276953409,-2.01664831313964
1.90287609892556,-3.58324803981658
-5.9944415490084,-5.10186710033293
1.31376584368417,-4.21857204112883
4.42402454214761,10.2811394723905
-0.681649247830417,2.2869857343686
8.88102384405801,-0.283914012943466
-7.64940599602988,-5.33461942348357
-5.72274593514731,4.56996403064851
-5.40103534859946,2.84239945736055
-3.86206535500815,8.16834268894319
-2.5597799221926,3.85984430637483
-7.9666562477999,-4.85563268337126
-5.87109712762168,4.57998333301668
-6.50164465112021,-5.83461370143767
8.17803045111368,-6.17092075023528
-9.74039510888388,3.564368346597
7.13387056189248,-1.49379052791472
-0.129982690041568,-6.3832749334323
2.62261732416818,-4.08057322177764
11.6851009924955,0.952089885140698
-6.762717763608,3.53987465229158
8.98220678168008,1.90956960048799
9.55276532965371,-0.88073279533263
6.68524642782876,-5.57773103389617
-3.73258070153525,5.44472847309236
-7.39348558587363,-1.91853036556121
1.56800748902032,-3.79316177043792
5.8646425803251,-7.82635440502043
-5.42475465935996,7.67051992740754
-6.35228923959067,4.53846416797761
11.9792313178129,0.208901801968854
-6.83399252099326,-2.52608861598845
0.326739599282239,-5.85616864833708
11.1851076682157,1.62125072803621
2.81205745535562,-6.5682205167758
-4.70826725167563,8.87670717563752
-7.87778524560263,-5.02236404094573
2.53713043528268,-2.14748348865386
0.865692359680627,-5.91197003993865
-5.59562830132773,5.6802860292447
-6.1272426049166,2.15920458164338
2.60146029787729,-0.506138553951938
1.81173785525033,-0.10148822340842
-6.55307964486411,4.85665998783235
-7.59582475823691,-6.4570898023593
-5.45735029382041,2.60042224254731
-6.60132173699668,1.42008374061708
-4.84459547204306,7.21142158832673
3.49972220259378,-7.87653150234099
-0.708492080395724,3.31682405796174
-1.04364589852622,1.38301894989137
5.62623115378091,-4.92354764613982
-0.236702362721469,13.8260413202298
6.08382507162759,1.39879284229402
12.6167358954496,1.42189953651551
5.67111011343667,-6.65544452342864
-3.73296789330771,2.99006567325715
13.2442564566679,2.65431461658601
5.88396640616128,-6.80563010845061
9.15268083410928,-0.614250889157016
-0.416604320233371,2.13278756466035
2.86924548941324,-1.13182946119185
2.11572285490701,-1.74117448005553
2.41378398733804,-4.33512773189421
13.3163246710844,2.51545629825715
7.44659181433389,-4.38859786662932
5.86689897375772,-7.87911119136687
6.20622392492959,-7.12642326030608
-5.86454681557944,5.08743915882234
-3.70094541711142,2.74794731464509
5.68352313833902,-6.16568460140105
6.37510200339029,-7.31097783717986
11.4985298712797,2.57681022014741
8.78822894888589,-0.44462650093909
-5.76523021859458,4.732581237222
-4.59109071893027,4.4232059511197
9.53707261877725,-3.74876536998626
9.3812384207792,-2.19785406265136
-6.32795385522177,3.29747114505891
-6.64831499261191,4.86685810413484
11.210013826663,1.89549861278657
6.33300395804117,-5.44556464824553
-6.91993812722495,4.59724674549226
7.98922868567178,-6.09813871059294
-4.68314365548423,4.64400062885408
-6.49629215401938,6.88224230136995
1.98731668787668,-5.91593112621184
-6.6542029778414,-6.69296779308196
-7.43949178857138,5.07715425815706
-5.6975608269625,-4.95078315410491
-0.18339584273627,0.915071943665784
0.142808695609067,1.97027240123872
0.223047216708158,-6.42358197841521
-4.45741800469687,3.5981646570218
3.53410716849038,-3.83685984287139
2.62229355173776,-5.93273582134124
-6.17959837121299,4.30175886478547
-4.50772337121299,-0.866032382582385
-3.70573095483115,2.32229767170076
-2.83462576073935,-0.456814674769599
-5.29526285332968,4.06082926120881
-5.8989768425875,3.70226488437776
-7.5901685158663,-6.13545932445403
4.36456151800821,-3.72604765567656
12.8800911505766,6.29835901584749
-6.93614200753501,4.38796625461702
5.5247897704191,-0.358619898666699
-6.51657346886924,3.12561140384797
1.67615379887292,-7.82108773860808
10.9685139258451,2.84267626133088
2.79306217032144,-4.49631824169036
-5.88099006814292,1.30650089111451
