"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_10037777",-7.14148763818076,-1.65003778610106,"precursor-like","WT",50.9275464876547
"wt_1184726",-5.70664123696616,-2.10190810832854,"differentiating","WT",49.5737317074282
"wt_8412343",-7.08955721062949,-0.864879598950107,"differentiating","WT",50.0998460392977
"wt_5478980",-6.90835527581504,-1.54879715118285,"differentiating","WT",57.3269704575453
"wt_1328732",-7.64269117516806,-1.78360130462523,"differentiating","WT",47.7456996302071
"wt_9749823",-6.88157705468466,-2.68510474834319,"differentiating","WT",53.4343266232637
"wt_4015918",-7.70243028802207,-2.22262968692656,"differentiating","WT",58.8111627444164
"wt_13437331",-7.70225481194785,-2.55312003764983,"differentiating","WT",56.8459889174811
"wt_3555102",-7.89438776177695,-2.62108459148284,"differentiating","WT",57.6056368200234
"wt_1208854",-7.44493440789511,-2.54096402797576,"differentiating","WT",57.1833423816975
"wt_1046800",-7.71424440545371,-2.39330329570647,"differentiating","WT",50.2160965645531
"wt_3544732",-6.68148664635947,-2.58003844890471,"differentiating","WT",43.3438955824796
"wt_10037024",-7.4744220177584,-2.06424417171355,"differentiating","WT",51.456753062029
"wt_11364525",-7.17579702538779,-2.51649512920256,"differentiating","WT",54.1785590994233
"wt_12394824",-7.4302039544039,-1.91989936504241,"differentiating","WT",58.6893009602923
"wt_7970779",-6.5769005219393,-1.86748149070616,"differentiating","WT",44.7329341835015
"wt_2680751",-7.57369569939902,-2.57737674388762,"differentiating","WT",48.6181147640227
"wt_4004036",-7.40576509637168,-1.48651089343901,"differentiating","WT",53.2534628323466
"wt_744649",-7.80709604424765,-2.36433651122924,"differentiating","WT",58.1002968146196
"wt_4733611",-6.61056093377402,-2.44020547542449,"differentiating","WT",51.6154071463631
"wt_8261840",-7.57497266930869,-2.72196044597502,"differentiating","WT",57.4920095570067
"wt_9312007",-6.86282447976401,-2.71833672199126,"differentiating","WT",53.7275213224417
"wt_4901452",-5.61756328744223,-2.3580805269229,"precursor-like","WT",51.3166003885479
"wt_3099741",-7.39192823571494,-2.49750318202849,"differentiating","WT",56.9428788154399
"wt_5169442",-7.46644930047324,-1.90493847999449,"differentiating","WT",57.2545989937685
"wt_5613350",-6.77528480691245,-2.46893849048491,"differentiating","WT",49.0767342131812
"wt_2067521",-6.15263227624228,-2.45731868419524,"differentiating","WT",54.7815690396944
"wt_17320",-7.75535921258261,-2.69787349376555,"differentiating","WT",51.2233427369956
"wt_7236519",-6.84865955514243,-1.02243491086837,"differentiating","WT",57.1951184742944
"wt_11389890",-7.71348623437216,-2.0732757059085,"differentiating","WT",51.3748186820065
"wt_10326191",-7.07792715234091,-1.41169991168853,"differentiating","WT",54.5940950140645
"wt_8143913",-6.2089600960665,-2.39308943424102,"precursor-like","WT",51.419655168615
"wt_3259431",-6.37665466470053,-1.62559320602294,"differentiating","WT",53.9249491656885
"wt_8143915",-7.41497091454795,-2.35314812335845,"differentiating","WT",50.5843244451052
"wt_3262548",-4.79747490090659,-2.31428839835997,"precursor-like","WT",38.4952791641172
"wt_11831088",-7.33438829583457,-2.28037395152922,"differentiating","WT",52.0162506994695
"wt_5174853",-7.2752385537081,-1.43193115863677,"differentiating","WT",53.3716342396087
"wt_8265632",-6.32792858285239,-1.85037340793486,"differentiating","WT",42.0144018298814
"wt_3249805",-6.52175954980185,-2.45323862705107,"differentiating","WT",47.2701116664016
"wt_7407003",-7.8147426049166,-1.82407583865996,"differentiating","WT",53.8544393960655
"wt_1201181",-6.21892027062705,-2.04157092246886,"differentiating","WT",48.1580018355194
"wt_8569816",-7.37537531060508,-2.58296789798613,"differentiating","WT",52.2363441742704
"wt_9916060",-7.74756578606894,-2.05767359409209,"differentiating","WT",50.5808884146079
"wt_11084221",-6.92586092156699,-2.62885703716155,"differentiating","WT",57.3487993725526
"wt_9749074",-7.35945181054404,-2.44324674281951,"differentiating","WT",59.1590565636533
"wt_11825691",-7.3479457299166,-1.94979836616393,"differentiating","WT",58.416835533288
"wt_11242775",-7.4609713951998,-1.87862970504637,"differentiating","WT",52.1343296202823
"wt_6046108",-6.91999105614951,-2.17349674377318,"differentiating","WT",50.5455954305361
"wt_4900669",-6.24427513284018,-2.03547360572692,"precursor-like","WT",47.6689747549187
"wt_7385926",-7.10597471398642,-2.07509889278289,"differentiating","WT",47.8473139436783
"wt_3562016",-7.59018377465537,-2.2984497753131,"differentiating","WT",49.9246301723987
"wt_5756180",-5.86640743417075,-1.8606884685504,"precursor-like","WT",39.9928536449333
"wt_8266392",-5.50105194253257,-2.2032885757434,"precursor-like","WT",41.5506463948285
"wt_7392047",-6.534681359952,-2.20522370014067,"differentiating","WT",50.3273513672677
"wt_3693015",-7.60270170373252,-2.36344041499968,"differentiating","WT",48.2421139383215
"wt_1481127",-5.45129350823691,-2.30461742553588,"precursor-like","WT",48.2096785340811
"wt_1653600",-6.08295921487143,-2.31032921943541,"precursor-like","WT",48.2820036608143
"wt_2228411",-6.97131399316123,-2.06352641258116,"differentiating","WT",54.1452365519536
