"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_12119857",-7.20675043267539,-2.70892634067412,"differentiating","WT",53.9972856981002
"wt_326043",-6.36493591470053,-1.83035256538268,"differentiating","WT",47.0212442182292
"wt_6668997",-7.12527565163901,-1.93230642948027,"differentiating","WT",58.3894611115742
"wt_1947322",-7.30523828667929,-2.28196193847533,"differentiating","WT",51.0265200701601
"wt_10033936",-7.49273161095908,-2.01728679809447,"differentiating","WT",58.616885704479
"wt_893259",-7.47402433556845,-1.61692919406768,"differentiating","WT",53.5009115322419
"wt_5015482",-7.25332311791709,-1.9941821304309,"differentiating","WT",51.7933045574182
"wt_11804204",-7.78302721185019,-2.75042905483123,"differentiating","WT",54.2439265902908
"wt_11807302",-6.90146116418174,-2.62303032550688,"differentiating","WT",40.3692205473301
"wt_9020978",-6.84980539483359,-2.54057898197051,"differentiating","WT",49.9183854022073
"wt_11387137",-6.26079420251181,-2.29167248878356,"differentiating","WT",38.3647999297171
"wt_8562057",-6.1934719483309,-2.10895707282897,"differentiating","WT",48.9534842059567
"wt_1181613",-7.29686121148398,-2.7162143198001,"differentiating","WT",56.8015269709877
"wt_4742834",-4.44282154244712,-2.36806716594573,"precursor-like","WT",37.7772672670523
"wt_5605308",-6.79952530068686,-2.47788109454985,"differentiating","WT",45.6307398937748
"wt_5189775",-6.89806799096396,-1.48413171443816,"differentiating","WT",48.7745955695254
"wt_2683013",-6.15602449578574,-2.35967530879851,"differentiating","WT",44.8307391421535
"wt_8115851",-7.59415201348593,-2.63057436618682,"differentiating","WT",54.688316891191
"wt_4007129",-7.02907041711142,-2.16545679244872,"differentiating","WT",49.6149339390418
"wt_7822156",-7.29314188165,-2.35077132854338,"differentiating","WT",53.0561368636497
"wt_3984431",-7.3221660057955,-2.03391732845183,"differentiating","WT",58.0474602780669
"wt_10057053",-6.62618974847129,-1.48533191356536,"differentiating","WT",42.8522865889435
"wt_6344874",-7.23581842583945,-2.55904044780608,"differentiating","WT",57.6636057538365
"wt_12096772",-5.73278001946738,-2.07506837520476,"precursor-like","WT",48.2530615489244
"wt_13149736",-7.56790689629843,-2.63487877521392,"differentiating","WT",54.8645285314443
"wt_1034157",-6.69890312356284,-2.43528308544036,"differentiating","WT",52.4854960212094
"wt_12413610",-6.58165125054648,-2.57239427242156,"differentiating","WT",49.4436089762835
"wt_1184350",-5.02905420464804,-2.26981844577666,"precursor-like","WT",37.005083125513
"wt_5491635",-6.31030611199668,-1.38351645145293,"differentiating","WT",37.3417476496821
"wt_7686564",-7.56667474908164,-2.63153614673491,"differentiating","WT",57.7905454113742
"wt_11955477",-7.42822317284873,-2.66211738262053,"differentiating","WT",57.6371349112766
"wt_4014770",-7.33256391686728,-2.13891651306029,"differentiating","WT",49.8468483730325
"wt_2213773",-6.66343692941001,-2.61852087650176,"differentiating","WT",38.3270370432517
"wt_3393061",-6.25989250344565,-1.72357835445281,"differentiating","WT",54.6494120215599
"wt_6932414",-6.59736541909507,-2.43617977771636,"differentiating","WT",56.198626680532
"wt_3119706",-6.74297002953818,-1.05635257634993,"differentiating","WT",56.5278600708308
"wt_9732898",-7.16109327477744,-1.58995666179534,"differentiating","WT",45.4385118359063
"wt_3255173",-5.04097894830039,-2.19293298396941,"precursor-like","WT",36.1624376629741
"wt_7969587",-6.34547762078574,-1.6326725688922,"precursor-like","WT",37.1273371102119
"wt_8875066",-7.19383196038535,-2.68701924953337,"differentiating","WT",49.8926041829034
"wt_7095580",-6.03593353432944,-2.20995642814513,"differentiating","WT",43.6975152825871
"wt_13424658",-7.22067598504355,-2.65549482974883,"differentiating","WT",54.2985055392328
"wt_2070233",-7.56580690545371,-2.5808748212802,"differentiating","WT",55.1714617604985
"wt_13132849",-6.65973428887656,-2.53036274585601,"differentiating","WT",51.819264506371
"wt_11374111",-6.60721925896933,-2.51522674236174,"differentiating","WT",54.2363715996341
"wt_13423949",-7.25928358239463,-2.76585640582915,"differentiating","WT",53.4137639486116
"wt_1350962",-5.90866331261924,-2.2767999378192,"precursor-like","WT",46.1224422921243
"wt_7675061",-6.24158004922202,-2.514000794028,"differentiating","WT",49.5141960205681
"wt_9893056",-6.02557949227622,-1.73837473068114,"differentiating","WT",42.0707314677586
"wt_750364",-5.04328684014609,-2.30039527091857,"precursor-like","WT",37.4792465126913
"wt_11662868",-7.39267877740195,-1.36721207771178,"differentiating","WT",51.1101859719088
"wt_11537355",-7.46061472100547,-2.33952619705077,"differentiating","WT",54.0091949322941
"wt_2362078",-6.08301262063315,-2.22192003402587,"precursor-like","WT",49.41052415639
"wt_10793897",-6.00054220361045,-2.17484261665221,"differentiating","WT",50.4223543661436
"wt_10794640",-5.88448909920981,-2.22333874378081,"differentiating","WT",47.7347698749584
"wt_2365137",-6.88421634835532,-2.46997322711821,"differentiating","WT",52.9272324507291
"wt_11081871",-5.49811510247519,-2.24677159461852,"precursor-like","WT",44.8801532751676
"wt_13151709",-7.09880594415,-1.88358666572448,"differentiating","WT",48.6740866657521
"wt_5033108",-6.1699672142916,-2.08701970252867,"precursor-like","WT",42.1982049571567
"wt_13861686",-5.54734806222251,-2.06064691219207,"precursor-like","WT",44.976926486136
"wt_9468726",-6.63925460976889,-1.92594995174285,"differentiating","WT",43.7141542755803
"wt_13301829",-6.80502847832968,-1.71013464603301,"differentiating","WT",51.1334611299882
"wt_10947086",-6.93650201958945,-2.48559131297942,"differentiating","WT",49.6715662356853
"wt_1786390",-7.5305571953707,-2.11702062759276,"differentiating","WT",55.0383923511065
"wt_3550096",-6.30134729546836,-2.4631682840335,"differentiating","WT",38.6664984895109
"wt_5469384",-7.03900484246543,-1.53344609413024,"differentiating","WT",50.1148711290187
"wt_11956243",-7.3781381050997,-2.82364692363616,"differentiating","WT",39.3126054362508
"wt_9151940",-6.82643036050132,-2.66392173442717,"differentiating","WT",51.8194798331869
"wt_169800",-7.43458131951621,-1.47134306106444,"differentiating","WT",58.0890287255308
"wt_6497326",-6.6917276780062,-1.17177160653945,"differentiating","WT",56.1917270923398
"wt_2082498",-6.95242027444174,-1.64076389942046,"differentiating","WT",53.1282870572659
"wt_7991060",-5.78946355981162,-2.15908136043425,"differentiating","WT",39.1901589154197
"wt_7401234",-5.52097562951377,-2.23411669406768,"precursor-like","WT",38.9768230922158
"wt_3709121",-7.72422079247763,-2.11835028800841,"differentiating","WT",49.1707415621358
"wt_9883052",-5.44265798730185,-2.12794294032927,"precursor-like","WT",37.9490103309593
"wt_312233",-7.61887029809287,-2.12902547988768,"differentiating","WT",53.2410583351186
"wt_10486340",-6.95250038308432,-2.28649558696624,"differentiating","WT",51.8088955460759
"wt_1347102",-5.58045343560508,-2.12462367687102,"precursor-like","WT",38.0515518359846
"wt_13420509",-7.3058896462374,-2.72130527171965,"differentiating","WT",53.5251871468937
"wt_13867824",-4.40712980431845,-2.35192646655913,"precursor-like","WT",37.3527232996579
"wt_4140315",-6.5733719269686,-2.44639529857512,"differentiating","WT",42.9118142498608
"wt_1213483",-5.05942205590537,-2.1121887174594,"precursor-like","WT",40.7813523087615
"wt_12552243",-6.57329992455771,-1.80818428668853,"differentiating","WT",45.4874374429659
"wt_5918675",-7.43331007165244,-2.31880964908477,"differentiating","WT",54.4081776158382
"wt_8405827",-7.29452661675742,-2.5592056718814,"differentiating","WT",56.3172416189175
"wt_11382606",-6.08679203194907,-2.396484753226,"differentiating","WT",39.5875608663513
"wt_9439874",-5.92289261025717,-2.06043913040038,"differentiating","WT",47.2326272940359
"wt_7553686",-7.25556329888633,-2.64175977382537,"differentiating","WT",52.4127827462488
"wt_11950087",-7.26683000726035,-1.97156860504027,"differentiating","WT",53.955010166934
"wt_12834882",-7.05127815408042,-2.60616078052397,"differentiating","WT",51.1353150466164
"wt_9904968",-5.47795347375205,-2.2947602478015,"precursor-like","WT",36.7189273556008
"wt_6524206",-6.91318182153037,-1.51743855152007,"differentiating","WT",53.6427881695277
"wt_13279182",-7.3286939064913,-2.51882710132476,"differentiating","WT",53.7732651566255
"wt_11225105",-6.2846002976351,-2.6723898855197,"differentiating","WT",46.9765652907748
"wt_4010167",-7.40629724664023,-2.07043566379424,"differentiating","WT",57.7579233982635
"wt_4290490",-7.01901535195639,-2.57216968212004,"differentiating","WT",38.3359662833311
"wt_11385221",-6.2544660965853,-2.43035616550322,"differentiating","WT",47.8434475892512
"wt_7833285",-5.85395864648154,-2.02079643878813,"precursor-like","WT",52.5327658489297
"wt_3847302",-6.77622179192832,-1.61903288040038,"differentiating","WT",52.7556817415214
"wt_12701955",-6.09529070061972,-2.09686042938109,"differentiating","WT",49.5465099232805
"wt_6361788",-6.37939361733725,-2.00566901836272,"differentiating","WT",49.56476530535
"wt_8558607",-5.28705505532553,-2.10271002921935,"precursor-like","WT",41.129196262534
"wt_5466673",-6.76885370415976,-2.21157409820433,"differentiating","WT",53.4819806067312
"wt_3843842",-6.67580751580527,-1.55241980228301,"differentiating","WT",49.9773610763207
"wt_6669333",-7.26020483178427,-2.30017294559355,"differentiating","WT",52.1948108111339
"wt_9305869",-4.96166090173056,-2.28686132106658,"precursor-like","WT",39.8779316669397
"wt_5928281",-7.15752557915976,-1.77530004653807,"differentiating","WT",53.4742256922257
"wt_9450665",-5.07169441384604,-2.45197977695342,"precursor-like","WT",36.5369154693092
"wt_5029654",-7.14446071786216,-2.11911096248503,"differentiating","WT",49.0603130687729
"wt_8268764",-5.43573908013633,-1.97606076869841,"precursor-like","WT",45.7895225523332
"wt_8573279",-7.30028871697715,-2.60701741847869,"differentiating","WT",53.1464746023258
"wt_9173805",-7.21750597161582,-2.17223753604766,"differentiating","WT",47.8588546841217
"wt_7681962",-6.37291483086875,-2.68764366779204,"differentiating","WT",52.827726127965
"wt_9450645",-4.28555111092856,-2.36086787853118,"precursor-like","WT",37.549400998601
"wt_8140879",-6.92153410119345,-2.24463238391753,"differentiating","WT",48.8248168087013
"wt_6494980",-7.27885488671591,-1.89522232684966,"differentiating","WT",52.0290986217793
"wt_4158745",-6.91467718285849,-1.42373754653807,"differentiating","WT",45.6561804174582
"wt_10029331",-7.29248098534873,-2.59325613651152,"differentiating","WT",56.5795807022399
"wt_8274071",-6.3161492745333,-1.86825992736693,"differentiating","WT",43.4005590093118
"wt_7398614",-6.03145794076255,-2.32932581577178,"differentiating","WT",37.4000906917727
"mut_3251014",-6.93616298836997,-0.836349418495853,"differentiating","MUT",48.9000899670022
"mut_7242691",-6.59345869225791,-1.53343691501494,"differentiating","MUT",48.7409172627587
"mut_7385941",-7.87425092858603,-2.4926659074771,"differentiating","MUT",50.2631244743028
"mut_7251543",-7.5006966988497,-1.56572832736846,"differentiating","MUT",50.8952350478137
"mut_7973821",-7.01229623956015,-2.37530972633239,"differentiating","MUT",48.883788918671
"mut_12093734",-6.60601762933066,-0.629872044657428,"differentiating","MUT",49.7540208536764
"mut_5460163",-6.73684648675254,-2.33602049026366,"differentiating","MUT",58.2556851187723
"mut_2226074",-7.26772360009482,-1.55041565570708,"differentiating","MUT",51.2422371275857
"mut_2684226",-7.02349571389487,-0.380679168032553,"differentiating","MUT",49.2801206920395
"mut_11094192",-7.10233644646933,-2.1813352313983,"differentiating","MUT",53.8273371265094
"mut_23451",-7.61175588769248,-1.69612731609221,"differentiating","MUT",48.9878598837521
"mut_7106394",-7.34881071252158,-1.47012915286895,"differentiating","MUT",47.6513894724412
"mut_12402130",-6.90488676232627,-0.569420224164684,"differentiating","MUT",51.3473800555524
"mut_7090239",-7.24736265343955,-2.58490099582549,"differentiating","MUT",58.4810182294387
"mut_9619663",-7.26472620171836,-2.08372761878844,"differentiating","MUT",60.8642470422285
"mut_14024105",-6.93780807656577,-0.574449842904765,"differentiating","MUT",49.0716321983425
"mut_13455050",-7.68647913140586,-1.79168250236388,"differentiating","MUT",51.0160170607541
"mut_8853911",-7.8998666207247,-2.12646486434813,"differentiating","MUT",52.1668898055689
"mut_7991475",-7.24869207543662,-2.70825972232695,"differentiating","MUT",39.1414838759656
"mut_8261394",-7.15466407937339,-2.17602898750182,"differentiating","MUT",52.633805532355
"mut_7825585",-6.66030887765219,-2.20336057815428,"differentiating","MUT",49.2341944982131
"mut_1348609",-7.7258582512789,-2.52476706180449,"differentiating","MUT",53.0554946215975
"mut_7375535",-7.07222847146323,-2.22931100997802,"differentiating","MUT",51.1096977460681
"mut_12984204",-7.73090032738974,-1.89405693683501,"differentiating","MUT",52.7935207611649
"mut_5627985",-7.58234838647177,-1.84217991504546,"differentiating","MUT",50.7383628020839
"mut_1923894",-6.5036116043978,-1.80047692928191,"differentiating","MUT",48.0629339616689
"mut_6802967",-6.56174472970298,-2.15221359405394,"differentiating","MUT",48.320726660559
"mut_4873382",-6.81568054360678,-1.42097808990355,"differentiating","MUT",53.6431747477188
"mut_1208510",-7.44627432030966,-1.91691877517577,"differentiating","MUT",57.2243461769956
"mut_5773114",-5.84658435982993,-1.83133377704497,"differentiating","MUT",53.4173163451345
"mut_10492107",-7.90550378960898,-2.47871889743682,"differentiating","MUT",56.2289485966386
"mut_8267607",-7.36695722741416,-2.64115347537871,"differentiating","MUT",55.3252790953312
"mut_11208982",-7.74040750665,-1.78725781116362,"differentiating","MUT",50.5910732659002
"mut_11819906",-7.76542333764365,-2.33423974189635,"differentiating","MUT",53.8703098491226
"mut_13440792",-7.0092702309542,-2.56415762576934,"differentiating","MUT",58.4021939708786
"mut_7376261",-7.77707151574424,-2.28892173442717,"differentiating","MUT",57.7003018008107
"mut_7387466",-6.43654779595664,-1.91253878745909,"differentiating","MUT",49.1578593956683
"mut_1362862",-6.86998514336875,-1.39459230575438,"differentiating","MUT",47.9306495273208
"mut_7246134",-7.57169202966025,-2.44268979701873,"precursor-like","MUT",52.0339532516165
"mut_4277086",-6.79588655633261,-1.34411635074492,"differentiating","MUT",45.2459995773515
"mut_2071772",-6.80790046853354,-0.506728848551471,"differentiating","MUT",54.5144732051529
"mut_3121199",-6.78256754082968,-3.21582235965605,"differentiating","MUT",55.9437301502494
"mut_328739",-7.69328645867636,-1.80061270866271,"differentiating","MUT",56.4002834023138
"mut_7385906",-7.5343881050997,-2.5315915552127,"differentiating","MUT",53.0301092076548
"mut_12258847",-5.88278965157798,-2.1315397230136,"precursor-like","MUT",46.0176296411884
"mut_11510429",-7.18105701607993,-1.66360749873992,"differentiating","MUT",54.1616322716911
"mut_773046",-5.92674307030966,-2.12553443584319,"differentiating","MUT",46.5930044314431
"mut_5611408",-7.28193906945517,-1.43689312610503,"differentiating","MUT",56.6803984017031
"mut_4899135",-7.66971353692343,-2.67821683559294,"differentiating","MUT",56.2987890346282
"mut_7254149",-6.69334415597251,-2.43611302051421,"precursor-like","MUT",39.0260077610725
"mut_5927479",-6.98786119622519,-1.87532629642363,"differentiating","MUT",54.7813691578763
"mut_2372064",-4.432883779233,-2.31243958148833,"precursor-like","MUT",37.5562243809182
"mut_12251178",1.13456564145753,-4.42877807292815,"differentiating","MUT",59.9668489407216
"mut_8722268",-7.04990343255332,-1.57994594249602,"differentiating","MUT",57.941091149474
"mut_156364",-7.45920614404013,-2.44749893817778,"precursor-like","MUT",54.667336059311
"mut_14031805",-6.50317100686362,-1.55072261962767,"differentiating","MUT",49.9267063016439
"mut_13429306",-6.07216552895835,-1.77940311107512,"precursor-like","MUT",45.5805380354971
"mut_9753226",-6.70076708001425,-1.60307886276122,"precursor-like","MUT",51.9349579458171
"mut_6946989",-7.44484476250937,-1.7978404966342,"differentiating","MUT",53.6547070471916
"mut_8412379",-6.31456331414511,-2.1100348440158,"differentiating","MUT",47.7431648819774
"mut_7103706",-5.35470251244834,-2.32648577365752,"precursor-like","MUT",40.0787919296246
"mut_14016456",-7.31979803246787,-2.08093681011077,"differentiating","MUT",52.5581599928626
"mut_7986447",-3.90971855325034,-2.1135724988925,"differentiating","MUT",37.0370808928649
"mut_11071137",-6.63531498116782,-1.70511259708281,"differentiating","MUT",51.1825197750564
"mut_1056806",-6.15185836953452,-2.79401912364836,"differentiating","MUT",47.6667126650198
"mut_7987229",-5.93654541177085,-2.33543672237273,"differentiating","MUT",38.107759500319
"mut_25413",-6.27499965829184,-1.99532415542479,"differentiating","MUT",43.7085926086748
"mut_9887253",-7.67492727441123,-2.65838923129912,"differentiating","MUT",52.0517788959738
"mut_5627144",-6.07227996987632,-1.77024318847533,"differentiating","MUT",49.9015498618949
"mut_5917852",-7.74320558709433,-2.12338485393401,"differentiating","MUT",49.7709458194427
"mut_1579",-7.04228595895102,-1.56465365562316,"differentiating","MUT",51.5809365663112
"mut_3415701",-5.93939212960532,-2.16008712921019,"differentiating","MUT",47.0977673330896
"mut_10485930",-7.74153951806357,-2.02967359695311,"differentiating","MUT",54.7334613676673
"mut_2663063",-7.63386873406699,-2.26928593788024,"precursor-like","MUT",56.0625099275848
"mut_4152285",-7.57982305688193,-1.96279563579436,"differentiating","MUT",51.4587828072015
"mut_8271759",-7.61529878777793,-2.53683604869719,"differentiating","MUT",52.0966672320078
"mut_2660795",-6.88438896340659,-2.31972148094054,"differentiating","MUT",49.8277731300491
"mut_9144975",-7.62381796044638,-1.89724363956328,"differentiating","MUT",57.4723201472272
"mut_3689564",-7.28110174340537,-2.44866313609954,"differentiating","MUT",51.4992029276045
"mut_11243225",-6.52747778100302,-2.60364665660735,"differentiating","MUT",49.6628719041119
"mut_11831132",-7.43692068261435,-2.01411749992247,"differentiating","MUT",54.3437752773237
"mut_7552525",-6.95543674630454,-2.08085753593322,"differentiating","MUT",49.8718452205669
"mut_10790033",-7.01005224389365,-2.29548933181639,"differentiating","MUT",52.8558184650425
"mut_10477100",-7.75770334405234,-2.46075334224578,"differentiating","MUT",53.8107299333156
"mut_7407017",-7.1533394257479,-1.48621608886595,"differentiating","MUT",49.2307002940543
"mut_170582",-7.28992609185508,-2.18510248336669,"differentiating","MUT",50.8363795511788
"mut_7404763",-7.03353265923789,-2.61981095943328,"differentiating","MUT",56.3251384768202
"mut_9733284",-7.08575491112998,-2.25950779590483,"differentiating","MUT",53.1471973424956
"mut_4006366",-7.14471105737021,-1.24920417938109,"differentiating","MUT",55.3712352082652
"mut_2227628",-7.09250883263877,-1.9957461563098,"differentiating","MUT",53.9287748909096
"mut_11665586",-6.35309080285361,-1.98044504794951,"precursor-like","MUT",50.6262138974344
"mut_2235701",-7.80379060906699,-2.42774929675933,"differentiating","MUT",53.9171489068987
"mut_3985214",-7.47374109429648,-2.33870746765013,"differentiating","MUT",58.635417723508
"mut_8418458",-6.20888570946982,-2.30198027763243,"precursor-like","MUT",49.7155268282081
"mut_8995970",-6.07860902947715,-2.24793948802825,"differentiating","MUT",47.0104846138278
"mut_5634436",-5.92542127770713,-2.23298706683989,"precursor-like","MUT",47.2298757679903
"mut_1352516",-7.33199457330039,-2.2296328750598,"differentiating","MUT",53.4703439708529
"mut_6806079",-7.50165037316611,-2.29685892734404,"precursor-like","MUT",52.1407613925824
"mut_1361303",-6.76046899956992,-1.43641044769164,"differentiating","MUT",49.3780617568544
"mut_10792729",-6.62991527718833,-1.61004342708464,"differentiating","MUT",54.9535237155487
"mut_6660165",-6.79472402734091,-2.27911235961791,"differentiating","MUT",49.7786405320635
"mut_12993493",-7.79999498528769,-2.34056880149718,"differentiating","MUT",57.1076679192003
"mut_9755927",-4.59282402200034,-2.21237721118804,"precursor-like","MUT",40.7567485625532
"mut_6816771",-7.78224996728232,-2.50734724674102,"differentiating","MUT",56.0383285976545
"mut_7548736",-7.08357862633994,-2.22349693450804,"differentiating","MUT",48.8257297734732
"mut_6957403",-5.7388878266268,-1.88728024635192,"differentiating","MUT",44.0643090070693
"mut_8712653",-6.7239895264559,-2.40371288928862,"differentiating","MUT",52.8646632129619
"mut_8710728",-7.60138563317588,-1.86100210819121,"differentiating","MUT",53.3353897575852
"mut_11513514",-6.58177189034751,-0.632902195786197,"precursor-like","MUT",48.5104925391476
"mut_2525595",-7.21183065575888,-2.49419130954619,"differentiating","MUT",52.6998241847702
"mut_5483611",-7.20088342828086,-1.19782688293334,"differentiating","MUT",55.5847884068432
"mut_181642",-7.36494020623496,-1.93278886947509,"differentiating","MUT",49.9012372656221
"mut_10484387",-6.94030288857749,-1.81662716541167,"differentiating","MUT",52.6062133021949
"mut_11217828",-7.20266012353232,-1.76687528762694,"differentiating","MUT",51.9575042238109
"mut_6657478",-7.40985540551474,-2.59376539859648,"differentiating","MUT",50.8211680583876
"mut_26197",-5.52601484460166,-2.09040274295684,"precursor-like","MUT",45.2511074328665
"mut_11235549",-7.29266313714316,-1.88748635921355,"differentiating","MUT",53.009162837936
"mut_8427360",-7.68229917687705,-2.22409858379241,"differentiating","MUT",54.7147196086086
"mut_10491268",-6.78172926110556,-2.51838221225615,"differentiating","MUT",51.8842176773486
"mut_2660749",-7.20776514214804,-1.17332681093093,"differentiating","MUT",53.3792203864863
"mut_9739081",-6.39742283028891,-1.74444522533293,"differentiating","MUT",41.7055972314361
"mut_8412703",-7.71695379418662,-2.11417486343261,"precursor-like","MUT",52.107278896212
"mut_13726553",-4.681654016202,-2.59563126239653,"precursor-like","MUT",41.8215410129568
"mut_5194847",-7.92129472894004,-2.52345766696807,"differentiating","MUT",56.8548583786018
"mut_1352486",-6.72169450921347,-2.50809874210234,"differentiating","MUT",52.1951530205634
"mut_8577095",-5.2703729073458,-1.90100612316008,"precursor-like","MUT",48.1559236451315
"mut_8733779",-7.05927328271201,-1.48106910858031,"differentiating","MUT",56.9866611070524
"mut_13585604",-5.30793003243735,-2.18693151149626,"precursor-like","MUT",41.6702941246449
"mut_2233357",-7.13896803063681,-1.87128975067015,"differentiating","MUT",54.4597828725397
"mut_7381280",-6.13113216561606,-2.32767810497161,"precursor-like","MUT",51.5255491247673
"mut_1185457",-7.02247814339926,-1.45774795684691,"differentiating","MUT",48.4666848383907
"mut_5606438",-5.55694345635703,-2.17080356750365,"precursor-like","MUT",41.0230347849469
"mut_7676168",-7.41894487542441,-1.72971262607451,"differentiating","MUT",48.3363274760065
"mut_900179",-7.70604376000693,-2.17937781486388,"differentiating","MUT",51.5568863031544
"mut_8559778",-7.67246393365195,-2.53112139377471,"differentiating","MUT",56.153213825964
"mut_10037447",-6.79259256524375,-1.36849429283019,"differentiating","MUT",41.5296550075118
"mut_4426028",-6.8913503090792,-2.30642940673705,"differentiating","MUT",50.7414751268241
"mut_7381307",-4.95990280312827,-2.2467136589038,"precursor-like","MUT",47.5754645645676
"mut_4754343",-7.61380438012412,-1.91005482349272,"differentiating","MUT",49.6892387770066
"mut_7251162",-5.59047035378745,-2.12830271396514,"differentiating","MUT",49.5401125017646
"mut_1328701",-7.69557146233847,-2.65849413547393,"differentiating","MUT",58.3176783676675
"mut_5178644",-7.66963533562949,-2.33255889091368,"differentiating","MUT",56.7256642014758
"mut_3248712",-6.43512109917929,-2.07181503448363,"differentiating","MUT",48.4557056252376
"mut_7675811",-6.61061004800132,-1.84870006713744,"differentiating","MUT",52.0033445216945
"mut_4280520",-7.19931558770468,-1.8623472658145,"differentiating","MUT",53.5749510067683
"mut_10347337",-6.90838865441611,-2.49123015079375,"differentiating","MUT",55.3131792382349
"mut_1214265",-7.52409605187705,-1.79252888831969,"differentiating","MUT",50.1280509950715
"mut_7099075",-7.646826307004,-2.47288694057341,"differentiating","MUT",50.2107828515729
"mut_9766703",-7.40418676537802,-2.04778506431456,"differentiating","MUT",55.5827736989555
"mut_9298989",-7.74351839227011,-2.452064415549,"differentiating","MUT",52.1285601957513
"mut_4007873",-6.77549366158774,-2.38175716075774,"differentiating","MUT",48.6978868601849
"mut_9325144",-6.14971975487998,-2.49378838214751,"precursor-like","MUT",44.4404931177735
"mut_912848",-7.57768301171591,-1.87790550861235,"differentiating","MUT",50.580549379532
"mut_8733340",-7.03905109566977,-2.42661323222991,"differentiating","MUT",47.8679835787882
"mut_1335626",-6.41261581582358,-1.64963533553954,"differentiating","MUT",44.1857514761512
"mut_7385931",-4.45634321374228,-2.45985259685393,"precursor-like","MUT",37.3911500749299
"mut_11172",-7.11655811471274,-1.34737982425566,"differentiating","MUT",48.5240902974412
"mut_2536020",-5.87944225472739,-2.25256349716063,"precursor-like","MUT",45.7127524438325
"mut_2510260",-7.31647066277793,-1.3500883189189,"differentiating","MUT",53.0482280221366
"mut_11664811",-5.73967127007773,-1.79199196967955,"differentiating","MUT",46.7748672222515
"mut_5927431",-7.5489726464205,-2.59695877704497,"differentiating","MUT",53.6168158626073
"mut_6065336",-6.34204534692099,-1.77063407573577,"differentiating","MUT",51.6225886980157
"mut_10349999",-6.94410852593711,-1.84357478294249,"differentiating","MUT",55.7681750947056
"mut_8285221",-5.56723121804526,-2.42113413486357,"precursor-like","MUT",41.681869393161
"mut_8861185",-5.90664247674277,-2.24973585281249,"precursor-like","MUT",38.462056592415
"mut_9013257",-6.64545826119712,-2.43826164874907,"differentiating","MUT",53.333706693389
"mut_2534449",-7.26257948083213,-1.38759126338835,"differentiating","MUT",54.1256418009048
"mut_1211541",-6.53737405938437,-2.20456506881591,"differentiating","MUT",51.4733601902925
"mut_5631409",-6.19626907510092,-2.27170290622588,"differentiating","MUT",47.2335151846915
"mut_8719156",-7.5734563271456,-2.31079985771056,"differentiating","MUT",59.8541575647754
"mut_156341",-5.47870639962485,-2.08758594665404,"precursor-like","MUT",41.0902143038448
"mut_6051870",-6.43649868172934,-2.19881083640929,"differentiating","MUT",49.0561720565303
"mut_14016786",-5.60467390221884,-2.18327369365569,"precursor-like","MUT",38.2669049989819
"mut_13584402",-6.85325245065024,-1.43490996036406,"differentiating","MUT",55.1328293301091
"mut_4145365",-7.76801256341269,-2.19012369785186,"differentiating","MUT",58.41083896161
"mut_467714",-7.58900312585166,-2.28064157638427,"differentiating","MUT",57.6102279488641
"mut_7232716",-6.60935596627524,-2.46176471385833,"differentiating","MUT",54.2391154236913
"mut_11536929",-6.79534963769248,-2.53638257655974,"differentiating","MUT",53.078551916442
"mut_1650514",-7.02319292229941,-2.31001951370116,"differentiating","MUT",49.7233148725181
"mut_6817187",-7.65552477044394,-2.04642834339019,"differentiating","MUT",49.7063119921264
"mut_10353808",-7.14176086587241,-2.3105085102069,"differentiating","MUT",48.1326619731062
"mut_5916737",-7.71752409142783,-2.20336224708434,"differentiating","MUT",56.7462599648315
"mut_1509180",-6.69569019479087,-2.62433399829741,"differentiating","MUT",56.2089225471964
"mut_6341031",-6.91998438042929,-2.32209839496489,"differentiating","MUT",43.9543850493656
"mut_8413083",-7.52822450799277,-2.40485229167815,"differentiating","MUT",54.4476537205651
"mut_10649151",-7.65019659203818,-2.33458676013823,"differentiating","MUT",51.7279130563854
"mut_13744162",-7.69337324303916,-2.73222818050261,"differentiating","MUT",59.6443035138246
"mut_11222489",-6.10447315377524,-2.25261761817809,"differentiating","MUT",46.7602292231366
"mut_13005358",-5.68255905312827,-2.32701708946105,"differentiating","MUT",42.286612150281
"mut_7089470",-6.54042390984824,-2.43600525531646,"differentiating","MUT",48.8773106177226
"mut_9737917",-6.86562017602256,-2.09586944255706,"differentiating","MUT",53.2723709487424
"mut_4305449",-6.86591676873496,-0.917836031054218,"differentiating","MUT",46.7109343767859
"mut_6793405",-4.97472099465659,-2.2405724731433,"precursor-like","MUT",38.3941335324281
"mut_6793384",-5.3126354615145,-1.92038848075743,"precursor-like","MUT",52.5856793170449
"mut_13425821",-6.07093338174155,-1.73686446819182,"differentiating","MUT",38.5411192099765
"mut_13005321",-7.07833389443686,-2.13958825740691,"differentiating","MUT",55.1700910803026
"mut_9606586",-7.37949613732627,-1.81771769199248,"differentiating","MUT",56.2457403901898
"mut_10039346",-7.28883413476279,-2.17299785289641,"differentiating","MUT",51.4494113488997
"mut_8435796",-6.67122415704062,-2.24716963443633,"precursor-like","MUT",53.8021285601908
"mut_10792736",-6.79030183953574,-0.698027452563007,"differentiating","MUT",49.6197562402872
