"class","n_cells","gene","pct_expr","mean_expr"
"Cajal-Retzius",157,"Nr2f2",54.1,1.0139
"Cajal-Retzius",157,"Meis2",29.3,0.5016
"Cajal-Retzius",157,"Tshz1",28,0.3231
"Cajal-Retzius",157,"Etv1",5.7,0.0697
"Cajal-Retzius",157,"Pbx3",17.2,0.2783
"Cajal-Retzius",157,"Ebf1",17.2,0.2795
"Cajal-Retzius",157,"Isl1",3.2,0.045
"Cajal-Retzius",157,"Rxrg",2.5,0.0344
"Cajal-Retzius",157,"Npy1r",3.2,0.0346
"Cajal-Retzius",157,"Dchs2",4.5,0.0583
"Cajal-Retzius",157,"Pde8b",16.6,0.2088
"Cajal-Retzius",157,"Drd2",0.6,0.0072
"Cajal-Retzius",157,"Penk",5.1,0.0633
"Cajal-Retzius",157,"Adora2a",0.6,0.0074
"Cajal-Retzius",157,"Six3",1.9,0.0209
"Cajal-Retzius",157,"Sox4",37.6,0.4953
"CGE-IN",319,"Mki67",2.5,0.0455
"CGE-IN",319,"Top2a",2.8,0.0458
"CGE-IN",319,"Eomes",0.9,0.0155
"CGE-IN",319,"Neurog2",0.9,0.0142
"CGE-IN",319,"Btg2",0.9,0.0178
"CGE-IN",319,"Dlx1",73.4,1.5887
"CGE-IN",319,"Dlx2",21,0.3463
"CGE-IN",319,"Ascl1",24.5,0.4308
"CGE-IN",319,"Egfr",3.8,0.0673
"CGE-IN",319,"Olig2",0.9,0.0122
"CGE-IN",319,"Bcan",2.5,0.0395
"CGE-IN",319,"Aqp4",0,0
"CGE-IN",319,"Aldh1l1",0.6,0.0074
"CGE-IN",319,"Clu",1.3,0.0235
"CGE-IN",319,"Slc1a3",6.6,0.1115
"CGE-IN",319,"Slco1c1",1.3,0.0188
"CGE-IN",319,"Mfge8",2.5,0.0321
"CGE-IN",319,"Pdgfra",0.3,0.0032
"CGE-IN",319,"Cspg4",0.9,0.0122
"CGE-IN",319,"Sox10",0,0
"CGE-IN",319,"Fezf2",2.2,0.0323
"CGE-IN",319,"Tle4",6,0.1002
"CGE-IN",319,"Ntsr1",1.3,0.0176
"CGE-IN",319,"Satb2",6.6,0.1302
"CGE-IN",319,"Cux1",27.3,0.4841
"CGE-IN",319,"Mef2c",52,1.1755
"CGE-IN",319,"Reln",52.7,1.3242
"CGE-IN",319,"Trp73",0.6,0.0089
"CGE-IN",319,"Ndnf",10,0.196
"CGE-IN",319,"Lhx6",1.9,0.0289
"CGE-IN",319,"Maf",32.3,0.658
"CGE-IN",319,"Nxph1",10,0.2239
"CGE-IN",319,"Prox1",49.8,1.0381
"CGE-IN",319,"Htr3a",24.5,0.414
"CGE-IN",319,"Nr3c2",72.4,1.8603
"CGE-IN",319,"Lhx8",1.3,0.0241
"CGE-IN",319,"Nkx2-1",0.9,0.0132
"CGE-IN",319,"Cntnap5a",24.1,0.5128
"CGE-IN",319,"Adarb2",100,4.7936
"CGE-IN",319,"Nr2f2",43.6,0.8447
"CGE-IN",319,"Meis2",27.3,0.6365
"CGE-IN",319,"Tshz1",14.4,0.2437
"CGE-IN",319,"Etv1",3.1,0.0553
"CGE-IN",319,"Pbx3",56.4,1.4962
"CGE-IN",319,"Ebf1",7.2,0.1327
"CGE-IN",319,"Isl1",2.2,0.0402
"CGE-IN",319,"Rxrg",0.9,0.0145
"CGE-IN",319,"Npy1r",6.9,0.1027
"CGE-IN",319,"Dchs2",11.6,0.2073
"CGE-IN",319,"Pde8b",0.6,0.009
"CGE-IN",319,"Drd2",0.3,0.0034
"CGE-IN",319,"Penk",0.9,0.0126
"CGE-IN",319,"Adora2a",0.3,0.005
"CGE-IN",319,"Six3",2.2,0.0371
"CGE-IN",319,"Sox4",43.9,0.7771
"Deep layer EN",4451,"Mki67",1.8,0.0238
"Deep layer EN",4451,"Top2a",2,0.0294
"Deep layer EN",4451,"Eomes",2.4,0.0374
"Deep layer EN",4451,"Neurog2",4.6,0.0658
"Deep layer EN",4451,"Btg2",0.9,0.0109
"Deep layer EN",4451,"Dlx1",3.8,0.05
"Deep layer EN",4451,"Dlx2",1,0.0122
"Deep layer EN",4451,"Ascl1",3.8,0.0548
"Deep layer EN",4451,"Egfr",1.3,0.0163
"Deep layer EN",4451,"Olig2",0.7,0.0088
"Deep layer EN",4451,"Bcan",2.8,0.0363
"Deep layer EN",4451,"Aqp4",0.4,0.0047
"Deep layer EN",4451,"Aldh1l1",0.6,0.0086
"Deep layer EN",4451,"Clu",3.5,0.0433
"Deep layer EN",4451,"Slc1a3",14.1,0.2523
"Deep layer EN",4451,"Slco1c1",1.1,0.0159
"Deep layer EN",4451,"Mfge8",1.6,0.0206
"Deep layer EN",4451,"Pdgfra",1.5,0.0197
"Deep layer EN",4451,"Cspg4",0.4,0.0045
"Deep layer EN",4451,"Sox10",0.2,0.0033
"Deep layer EN",4451,"Fezf2",36.9,0.6334
"Deep layer EN",4451,"Tle4",41.5,0.7695
"Deep layer EN",4451,"Ntsr1",18.1,0.2583
"Deep layer EN",4451,"Satb2",33.9,0.6359
"Deep layer EN",4451,"Cux1",21.7,0.3261
"Deep layer EN",4451,"Mef2c",60,1.4697
"Deep layer EN",4451,"Reln",17.2,0.2969
"Deep layer EN",4451,"Trp73",0.4,0.0056
"Deep layer EN",4451,"Ndnf",1.2,0.018
"Deep layer EN",4451,"Lhx6",1.3,0.015
"Deep layer EN",4451,"Maf",3.4,0.0468
"Deep layer EN",4451,"Nxph1",10.5,0.1677
"Deep layer EN",4451,"Prox1",5.6,0.1054
"Deep layer EN",4451,"Htr3a",0.4,0.0038
"Deep layer EN",4451,"Nr3c2",18.2,0.3717
"Deep layer EN",4451,"Lhx8",0.5,0.0062
"Deep layer EN",4451,"Nkx2-1",0.4,0.0044
"Deep layer EN",4451,"Cntnap5a",35,0.7584
"Deep layer EN",4451,"Adarb2",19.9,0.3707
"Deep layer EN",4451,"Nr2f2",12.9,0.2074
"Deep layer EN",4451,"Meis2",68,1.6738
"Deep layer EN",4451,"Tshz1",4.9,0.0689
"Deep layer EN",4451,"Etv1",11.4,0.187
"Deep layer EN",4451,"Pbx3",20.1,0.3474
"Deep layer EN",4451,"Ebf1",8.4,0.1412
"Deep layer EN",4451,"Isl1",2.6,0.0343
"Deep layer EN",4451,"Rxrg",1.7,0.0199
"Deep layer EN",4451,"Npy1r",6.3,0.0784
"Deep layer EN",4451,"Dchs2",4.8,0.0704
"Deep layer EN",4451,"Pde8b",3.4,0.0427
"Deep layer EN",4451,"Drd2",0.7,0.0084
"Deep layer EN",4451,"Penk",1.7,0.0237
"Deep layer EN",4451,"Adora2a",0.2,0.0029
"Deep layer EN",4451,"Six3",2,0.0275
"Deep layer EN",4451,"Sox4",64.4,1.1577
"Dorsal IPC",99,"Mki67",84.8,2.0669
"Dorsal IPC",99,"Top2a",81.8,1.7374
"Dorsal IPC",99,"Eomes",67.7,1.3158
"Dorsal IPC",99,"Neurog2",43.4,0.735
"Dorsal IPC",99,"Btg2",20.2,0.2959
"Dorsal IPC",99,"Dlx1",7.1,0.1265
"Dorsal IPC",99,"Dlx2",6.1,0.0878
"Dorsal IPC",99,"Ascl1",19.2,0.2832
"Dorsal IPC",99,"Egfr",16.2,0.2734
"Dorsal IPC",99,"Olig2",4,0.0592
"Dorsal IPC",99,"Bcan",7.1,0.0845
"Dorsal IPC",99,"Aqp4",1,0.0141
"Dorsal IPC",99,"Aldh1l1",0,0
"Dorsal IPC",99,"Clu",1,0.0137
"Dorsal IPC",99,"Slc1a3",54.5,1.0618
