"class","n_cells","gene","pct_expr","mean_expr"
"LGE-derived GABAergic",1056,"Pbx3",83.8,3.1261
"LGE-derived GABAergic",1056,"Ebf1",8,0.1534
"LGE-derived GABAergic",1056,"Isl1",5.4,0.1035
"LGE-derived GABAergic",1056,"Rxrg",3.6,0.0538
"LGE-derived GABAergic",1056,"Npy1r",2,0.0319
"LGE-derived GABAergic",1056,"Dchs2",12.7,0.2334
"LGE-derived GABAergic",1056,"Pde8b",6.3,0.1055
"LGE-derived GABAergic",1056,"Drd2",0.8,0.0142
"LGE-derived GABAergic",1056,"Penk",3.5,0.0529
"LGE-derived GABAergic",1056,"Adora2a",0.7,0.0084
"LGE-derived GABAergic",1056,"Six3",15.9,0.3102
"LGE-derived GABAergic",1056,"Sox4",61.1,1.2263
"Lhx8+ subpallial IN",266,"Mki67",3,0.0288
"Lhx8+ subpallial IN",266,"Top2a",1.5,0.0196
"Lhx8+ subpallial IN",266,"Eomes",1.1,0.0098
"Lhx8+ subpallial IN",266,"Neurog2",0.8,0.0063
"Lhx8+ subpallial IN",266,"Btg2",0.4,0.0046
"Lhx8+ subpallial IN",266,"Dlx1",36.8,0.541
"Lhx8+ subpallial IN",266,"Dlx2",5.3,0.066
"Lhx8+ subpallial IN",266,"Ascl1",0,0
"Lhx8+ subpallial IN",266,"Egfr",3,0.0409
"Lhx8+ subpallial IN",266,"Olig2",1.1,0.0098
"Lhx8+ subpallial IN",266,"Bcan",1.9,0.0244
"Lhx8+ subpallial IN",266,"Aqp4",0.4,0.0034
"Lhx8+ subpallial IN",266,"Aldh1l1",1.5,0.0124
"Lhx8+ subpallial IN",266,"Clu",4.5,0.0515
"Lhx8+ subpallial IN",266,"Slc1a3",6.4,0.0941
"Lhx8+ subpallial IN",266,"Slco1c1",1.9,0.0218
"Lhx8+ subpallial IN",266,"Mfge8",2.6,0.0338
"Lhx8+ subpallial IN",266,"Pdgfra",1.9,0.0213
"Lhx8+ subpallial IN",266,"Cspg4",0.4,0.0041
"Lhx8+ subpallial IN",266,"Sox10",0.4,0.0036
"Lhx8+ subpallial IN",266,"Fezf2",0.8,0.0074
"Lhx8+ subpallial IN",266,"Tle4",9.4,0.1012
"Lhx8+ subpallial IN",266,"Ntsr1",4.5,0.0417
"Lhx8+ subpallial IN",266,"Satb2",8.3,0.1238
"Lhx8+ subpallial IN",266,"Cux1",39.1,0.5503
"Lhx8+ subpallial IN",266,"Mef2c",39.1,0.798
"Lhx8+ subpallial IN",266,"Reln",28.6,0.4282
"Lhx8+ subpallial IN",266,"Trp73",0.4,0.0036
"Lhx8+ subpallial IN",266,"Ndnf",1.9,0.0325
"Lhx8+ subpallial IN",266,"Lhx6",39.5,0.5122
"Lhx8+ subpallial IN",266,"Maf",3.4,0.0424
"Lhx8+ subpallial IN",266,"Nxph1",13.9,0.2537
"Lhx8+ subpallial IN",266,"Prox1",3.8,0.0403
"Lhx8+ subpallial IN",266,"Htr3a",0,0
"Lhx8+ subpallial IN",266,"Nr3c2",25.6,0.4027
"Lhx8+ subpallial IN",266,"Lhx8",63.2,1.0881
"Lhx8+ subpallial IN",266,"Nkx2-1",27.1,0.3889
"Lhx8+ subpallial IN",266,"Cntnap5a",82.3,2.618
"Lhx8+ subpallial IN",266,"Adarb2",99.2,3.6157
"Lhx8+ subpallial IN",266,"Nr2f2",2.3,0.0242
"Lhx8+ subpallial IN",266,"Meis2",20.7,0.3238
"Lhx8+ subpallial IN",266,"Tshz1",7.1,0.0922
"Lhx8+ subpallial IN",266,"Etv1",28.6,0.5
"Lhx8+ subpallial IN",266,"Pbx3",39.5,0.7792
"Lhx8+ subpallial IN",266,"Ebf1",9,0.1246
"Lhx8+ subpallial IN",266,"Isl1",8.3,0.142
"Lhx8+ subpallial IN",266,"Rxrg",2.6,0.0296
"Lhx8+ subpallial IN",266,"Npy1r",1.1,0.0104
"Lhx8+ subpallial IN",266,"Dchs2",40.2,0.6202
"Lhx8+ subpallial IN",266,"Pde8b",5.6,0.0736
"Lhx8+ subpallial IN",266,"Drd2",1.5,0.0175
"Lhx8+ subpallial IN",266,"Penk",3.4,0.0417
"Lhx8+ subpallial IN",266,"Adora2a",0,0
"Lhx8+ subpallial IN",266,"Six3",3,0.0335
"Lhx8+ subpallial IN",266,"Sox4",52.6,0.8376
"MGE-IN",1414,"Mki67",1.5,0.0209
"MGE-IN",1414,"Top2a",2.3,0.0389
"MGE-IN",1414,"Eomes",0.8,0.0129
"MGE-IN",1414,"Neurog2",0.6,0.0069
"MGE-IN",1414,"Btg2",0.4,0.0042
"MGE-IN",1414,"Dlx1",38.7,0.7044
"MGE-IN",1414,"Dlx2",14.9,0.229
"MGE-IN",1414,"Ascl1",9.3,0.1533
"MGE-IN",1414,"Egfr",4.4,0.0814
"MGE-IN",1414,"Olig2",0.7,0.011
"MGE-IN",1414,"Bcan",5.4,0.0904
"MGE-IN",1414,"Aqp4",0.1,0.0022
"MGE-IN",1414,"Aldh1l1",0.4,0.0056
"MGE-IN",1414,"Clu",2.3,0.0312
"MGE-IN",1414,"Slc1a3",8.8,0.1585
"MGE-IN",1414,"Slco1c1",1.3,0.0209
"MGE-IN",1414,"Mfge8",0.9,0.014
"MGE-IN",1414,"Pdgfra",1.1,0.0154
"MGE-IN",1414,"Cspg4",0.4,0.0043
"MGE-IN",1414,"Sox10",0.4,0.0067
"MGE-IN",1414,"Fezf2",2.4,0.0332
"MGE-IN",1414,"Tle4",8.9,0.1376
"MGE-IN",1414,"Ntsr1",1.6,0.0222
"MGE-IN",1414,"Satb2",7.4,0.1306
"MGE-IN",1414,"Cux1",49.4,0.9332
"MGE-IN",1414,"Mef2c",70.1,1.8712
"MGE-IN",1414,"Reln",34.3,0.7874
"MGE-IN",1414,"Trp73",0.2,0.0029
"MGE-IN",1414,"Ndnf",4,0.0586
"MGE-IN",1414,"Lhx6",43.6,0.7673
"MGE-IN",1414,"Maf",60.4,1.3031
"MGE-IN",1414,"Nxph1",89.7,2.9185
"MGE-IN",1414,"Prox1",6.9,0.1195
"MGE-IN",1414,"Htr3a",1.4,0.0238
"MGE-IN",1414,"Nr3c2",4.6,0.0868
"MGE-IN",1414,"Lhx8",4.5,0.0811
"MGE-IN",1414,"Nkx2-1",7.3,0.1214
"MGE-IN",1414,"Cntnap5a",28.1,0.6186
"MGE-IN",1414,"Adarb2",16.3,0.3278
"MGE-IN",1414,"Nr2f2",11.1,0.189
"MGE-IN",1414,"Meis2",26,0.544
"MGE-IN",1414,"Tshz1",7.9,0.1254
"MGE-IN",1414,"Etv1",15.1,0.3035
"MGE-IN",1414,"Pbx3",22.3,0.4613
"MGE-IN",1414,"Ebf1",7.6,0.1281
"MGE-IN",1414,"Isl1",2.9,0.0486
"MGE-IN",1414,"Rxrg",1.3,0.0184
"MGE-IN",1414,"Npy1r",1.7,0.0234
"MGE-IN",1414,"Dchs2",9.1,0.1626
"MGE-IN",1414,"Pde8b",2.4,0.0345
"MGE-IN",1414,"Drd2",0.8,0.0114
"MGE-IN",1414,"Penk",2.4,0.0382
"MGE-IN",1414,"Adora2a",0.3,0.0033
"MGE-IN",1414,"Six3",2.2,0.033
"MGE-IN",1414,"Sox4",43.2,0.7706
"OPC",366,"Mki67",19.1,0.406
"OPC",366,"Top2a",18.3,0.3677
"OPC",366,"Eomes",1.6,0.0209
"OPC",366,"Neurog2",1.1,0.0149
"OPC",366,"Btg2",4.4,0.059
"OPC",366,"Dlx1",5.5,0.0862
"OPC",366,"Dlx2",0.3,0.0025
"OPC",366,"Ascl1",9.8,0.1485
"OPC",366,"Egfr",9.3,0.1624
"OPC",366,"Olig2",62.8,1.149
"OPC",366,"Bcan",88,1.9323
"OPC",366,"Aqp4",1.1,0.0178
"OPC",366,"Aldh1l1",0.5,0.0067
"OPC",366,"Clu",4.6,0.0662
"OPC",366,"Slc1a3",55.5,1.1458
"OPC",366,"Slco1c1",1.9,0.024
"OPC",366,"Mfge8",13.9,0.2037
"OPC",366,"Pdgfra",92.1,2.3667
"OPC",366,"Cspg4",76.5,1.5991
"OPC",366,"Sox10",59.6,1.0599
"OPC",366,"Fezf2",0.8,0.0084
"OPC",366,"Tle4",24.6,0.3893
"OPC",366,"Ntsr1",0.8,0.0108
"OPC",366,"Satb2",9,0.1689
"OPC",366,"Cux1",39.1,0.642
"OPC",366,"Mef2c",14.2,0.2509
"OPC",366,"Reln",13.7,0.2344
"OPC",366,"Trp73",0.5,0.0088
"OPC",366,"Ndnf",1.4,0.0162
"OPC",366,"Lhx6",1.6,0.0215
"OPC",366,"Maf",2.2,0.0335
"OPC",366,"Nxph1",82.8,2.0396
"OPC",366,"Prox1",9,0.1357
"OPC",366,"Htr3a",0.3,0.0045
"OPC",366,"Nr3c2",12.3,0.1993
"OPC",366,"Lhx8",0.8,0.0121
"OPC",366,"Nkx2-1",5.5,0.0836
"OPC",366,"Cntnap5a",10.9,0.1937
"OPC",366,"Adarb2",33.1,0.6678
"OPC",366,"Nr2f2",15.6,0.254
"OPC",366,"Meis2",60.4,1.3404
"OPC",366,"Tshz1",15.3,0.2186
"OPC",366,"Etv1",29.2,0.5066
"OPC",366,"Pbx3",38.5,0.7713
"OPC",366,"Ebf1",12,0.2003
"OPC",366,"Isl1",3,0.0463
"OPC",366,"Rxrg",1.6,0.021
"OPC",366,"Npy1r",1.1,0.0108
"OPC",366,"Dchs2",4.6,0.0643
"OPC",366,"Pde8b",21.6,0.3407
"OPC",366,"Drd2",1.1,0.0139
"OPC",366,"Penk",1.4,0.0204
"OPC",366,"Adora2a",0.8,0.0088
"OPC",366,"Six3",6.3,0.0912
"OPC",366,"Sox4",32,0.5499
"SPN-D1 (differentiating)",1587,"Mki67",1.5,0.0216
"SPN-D1 (differentiating)",1587,"Top2a",1.6,0.0246
"SPN-D1 (differentiating)",1587,"Eomes",1.1,0.017
"SPN-D1 (differentiating)",1587,"Neurog2",0.4,0.0051
"SPN-D1 (differentiating)",1587,"Btg2",1,0.0106
"SPN-D1 (differentiating)",1587,"Dlx1",8.8,0.1299
"SPN-D1 (differentiating)",1587,"Dlx2",3,0.0387
"SPN-D1 (differentiating)",1587,"Ascl1",1.2,0.0141
"SPN-D1 (differentiating)",1587,"Egfr",1.3,0.0168
"SPN-D1 (differentiating)",1587,"Olig2",0.6,0.0063
"SPN-D1 (differentiating)",1587,"Bcan",3.6,0.0457
"SPN-D1 (differentiating)",1587,"Aqp4",0.4,0.0045
"SPN-D1 (differentiating)",1587,"Aldh1l1",0.6,0.0066
"SPN-D1 (differentiating)",1587,"Clu",4.9,0.0568
"SPN-D1 (differentiating)",1587,"Slc1a3",6.2,0.0892
"SPN-D1 (differentiating)",1587,"Slco1c1",1.6,0.0221
"SPN-D1 (differentiating)",1587,"Mfge8",2.2,0.0272
"SPN-D1 (differentiating)",1587,"Pdgfra",1.3,0.0157
"SPN-D1 (differentiating)",1587,"Cspg4",0.6,0.0079
"SPN-D1 (differentiating)",1587,"Sox10",0.3,0.0029
"SPN-D1 (differentiating)",1587,"Fezf2",2.8,0.0361
"SPN-D1 (differentiating)",1587,"Tle4",32.5,0.4826
"SPN-D1 (differentiating)",1587,"Ntsr1",2.1,0.025
"SPN-D1 (differentiating)",1587,"Satb2",7.9,0.1246
"SPN-D1 (differentiating)",1587,"Cux1",37.4,0.5695
"SPN-D1 (differentiating)",1587,"Mef2c",56.9,1.0591
"SPN-D1 (differentiating)",1587,"Reln",60,1.3127
"SPN-D1 (differentiating)",1587,"Trp73",0.4,0.005
"SPN-D1 (differentiating)",1587,"Ndnf",0.3,0.0044
"SPN-D1 (differentiating)",1587,"Lhx6",1.1,0.0131
"SPN-D1 (differentiating)",1587,"Maf",1.9,0.0249
"SPN-D1 (differentiating)",1587,"Nxph1",7.9,0.123
"SPN-D1 (differentiating)",1587,"Prox1",2.3,0.0294
"SPN-D1 (differentiating)",1587,"Htr3a",0.3,0.0026
"SPN-D1 (differentiating)",1587,"Nr3c2",13.7,0.2193
"SPN-D1 (differentiating)",1587,"Lhx8",1.1,0.0151
"SPN-D1 (differentiating)",1587,"Nkx2-1",0.1,0.001
"SPN-D1 (differentiating)",1587,"Cntnap5a",37.3,0.709
"SPN-D1 (differentiating)",1587,"Adarb2",76.9,1.7642
"SPN-D1 (differentiating)",1587,"Nr2f2",5.1,0.0636
"SPN-D1 (differentiating)",1587,"Meis2",98.7,3.2868
"SPN-D1 (differentiating)",1587,"Tshz1",7.9,0.1101
"SPN-D1 (differentiating)",1587,"Etv1",5.8,0.0805
"SPN-D1 (differentiating)",1587,"Pbx3",76.9,2.0362
"SPN-D1 (differentiating)",1587,"Ebf1",95.1,2.8091
"SPN-D1 (differentiating)",1587,"Isl1",62.9,1.2127
"SPN-D1 (differentiating)",1587,"Rxrg",47.4,0.7758
"SPN-D1 (differentiating)",1587,"Npy1r",5.2,0.0683
"SPN-D1 (differentiating)",1587,"Dchs2",21.6,0.3378
"SPN-D1 (differentiating)",1587,"Pde8b",6.7,0.0903
"SPN-D1 (differentiating)",1587,"Drd2",1.3,0.0166
"SPN-D1 (differentiating)",1587,"Penk",2.1,0.026
"SPN-D1 (differentiating)",1587,"Adora2a",0.7,0.0071
"SPN-D1 (differentiating)",1587,"Six3",10.6,0.148
"SPN-D1 (differentiating)",1587,"Sox4",54.8,0.9156
"SPN-D1 (precursor-like)",530,"Mki67",0.9,0.0149
"SPN-D1 (precursor-like)",530,"Top2a",2.8,0.0387
"SPN-D1 (precursor-like)",530,"Eomes",0.4,0.0052
"SPN-D1 (precursor-like)",530,"Neurog2",0.2,0.0029
"SPN-D1 (precursor-like)",530,"Btg2",0.9,0.0149
"SPN-D1 (precursor-like)",530,"Dlx1",7.7,0.1306
"SPN-D1 (precursor-like)",530,"Dlx2",3.8,0.0592
"SPN-D1 (precursor-like)",530,"Ascl1",1.1,0.0173
"SPN-D1 (precursor-like)",530,"Egfr",0.2,0.0049
"SPN-D1 (precursor-like)",530,"Olig2",0,0
"SPN-D1 (precursor-like)",530,"Bcan",1.5,0.0219
"SPN-D1 (precursor-like)",530,"Aqp4",0.9,0.0131
"SPN-D1 (precursor-like)",530,"Aldh1l1",0.8,0.0107
"SPN-D1 (precursor-like)",530,"Clu",1.3,0.0179
"SPN-D1 (precursor-like)",530,"Slc1a3",4.5,0.0761
"SPN-D1 (precursor-like)",530,"Slco1c1",1.1,0.018
"SPN-D1 (precursor-like)",530,"Mfge8",1.1,0.0167
"SPN-D1 (precursor-like)",530,"Pdgfra",0.2,0.0034
"SPN-D1 (precursor-like)",530,"Cspg4",0.2,0.002
"SPN-D1 (precursor-like)",530,"Sox10",0,0
"SPN-D1 (precursor-like)",530,"Fezf2",1.5,0.0213
"SPN-D1 (precursor-like)",530,"Tle4",22.6,0.3963
"SPN-D1 (precursor-like)",530,"Ntsr1",1.7,0.0241
"SPN-D1 (precursor-like)",530,"Satb2",7.2,0.1175
"SPN-D1 (precursor-like)",530,"Cux1",47.4,0.8355
"SPN-D1 (precursor-like)",530,"Mef2c",38.5,0.8425
"SPN-D1 (precursor-like)",530,"Reln",17.2,0.2872
"SPN-D1 (precursor-like)",530,"Trp73",0.2,0.0018
"SPN-D1 (precursor-like)",530,"Ndnf",0.8,0.0084
"SPN-D1 (precursor-like)",530,"Lhx6",1.3,0.0205
"SPN-D1 (precursor-like)",530,"Maf",2.1,0.0354
"SPN-D1 (precursor-like)",530,"Nxph1",11.5,0.1954
"SPN-D1 (precursor-like)",530,"Prox1",1.9,0.0313
"SPN-D1 (precursor-like)",530,"Htr3a",0.4,0.0053
"SPN-D1 (precursor-like)",530,"Nr3c2",9.2,0.1561
"SPN-D1 (precursor-like)",530,"Lhx8",0.8,0.0128
"SPN-D1 (precursor-like)",530,"Nkx2-1",0,0
"SPN-D1 (precursor-like)",530,"Cntnap5a",28.1,0.612
"SPN-D1 (precursor-like)",530,"Adarb2",34.3,0.8303
"SPN-D1 (precursor-like)",530,"Nr2f2",4.3,0.0656
"SPN-D1 (precursor-like)",530,"Meis2",80.4,2.4941
"SPN-D1 (precursor-like)",530,"Tshz1",15.7,0.2648
"SPN-D1 (precursor-like)",530,"Etv1",1.1,0.0192
"SPN-D1 (precursor-like)",530,"Pbx3",73.4,2.0133
"SPN-D1 (precursor-like)",530,"Ebf1",24.2,0.7812
"SPN-D1 (precursor-like)",530,"Isl1",72.3,1.6311
"SPN-D1 (precursor-like)",530,"Rxrg",21.1,0.3543
"SPN-D1 (precursor-like)",530,"Npy1r",24.2,0.4578
"SPN-D1 (precursor-like)",530,"Dchs2",50.2,0.9974
"SPN-D1 (precursor-like)",530,"Pde8b",30.4,0.5297
"SPN-D1 (precursor-like)",530,"Drd2",0.9,0.017
"SPN-D1 (precursor-like)",530,"Penk",2.1,0.0325
"SPN-D1 (precursor-like)",530,"Adora2a",0.8,0.0123
"SPN-D1 (precursor-like)",530,"Six3",12.5,0.221
"SPN-D1 (precursor-like)",530,"Sox4",66.4,1.4278
"SPN-D2 (differentiating)",818,"Mki67",0.7,0.0093
"SPN-D2 (differentiating)",818,"Top2a",1.2,0.0199
"SPN-D2 (differentiating)",818,"Eomes",0.5,0.0071
"SPN-D2 (differentiating)",818,"Neurog2",0.9,0.0108
"SPN-D2 (differentiating)",818,"Btg2",0.4,0.0037
"SPN-D2 (differentiating)",818,"Dlx1",14.4,0.2171
"SPN-D2 (differentiating)",818,"Dlx2",4.2,0.0564
"SPN-D2 (differentiating)",818,"Ascl1",1,0.0134
"SPN-D2 (differentiating)",818,"Egfr",1.5,0.0221
"SPN-D2 (differentiating)",818,"Olig2",0.7,0.0097
"SPN-D2 (differentiating)",818,"Bcan",2,0.0271
"SPN-D2 (differentiating)",818,"Aqp4",0.5,0.0067
"SPN-D2 (differentiating)",818,"Aldh1l1",0.7,0.0118
"SPN-D2 (differentiating)",818,"Clu",3.5,0.0441
"SPN-D2 (differentiating)",818,"Slc1a3",6.2,0.1014
"SPN-D2 (differentiating)",818,"Slco1c1",1.3,0.0182
"SPN-D2 (differentiating)",818,"Mfge8",1.2,0.0177
"SPN-D2 (differentiating)",818,"Pdgfra",0.6,0.0079
"SPN-D2 (differentiating)",818,"Cspg4",0.2,0.0028
"SPN-D2 (differentiating)",818,"Sox10",0.4,0.0061
"SPN-D2 (differentiating)",818,"Fezf2",2.1,0.0283
"SPN-D2 (differentiating)",818,"Tle4",46.6,0.8251
"SPN-D2 (differentiating)",818,"Ntsr1",3.2,0.0399
"SPN-D2 (differentiating)",818,"Satb2",6.7,0.1164
"SPN-D2 (differentiating)",818,"Cux1",41.3,0.7015
"SPN-D2 (differentiating)",818,"Mef2c",58.3,1.2807
"SPN-D2 (differentiating)",818,"Reln",13.6,0.2161
"SPN-D2 (differentiating)",818,"Trp73",0.2,0.0031
"SPN-D2 (differentiating)",818,"Ndnf",0.2,0.0029
"SPN-D2 (differentiating)",818,"Lhx6",0.9,0.0111
"SPN-D2 (differentiating)",818,"Maf",3.1,0.0448
"SPN-D2 (differentiating)",818,"Nxph1",7,0.1228
"SPN-D2 (differentiating)",818,"Prox1",1.3,0.0204
"SPN-D2 (differentiating)",818,"Htr3a",0.2,0.0058
"SPN-D2 (differentiating)",818,"Nr3c2",5,0.079
"SPN-D2 (differentiating)",818,"Lhx8",0.4,0.005
"SPN-D2 (differentiating)",818,"Nkx2-1",0.4,0.0036
"SPN-D2 (differentiating)",818,"Cntnap5a",15,0.2789
"SPN-D2 (differentiating)",818,"Adarb2",15.3,0.282
"SPN-D2 (differentiating)",818,"Nr2f2",3.7,0.0532
"SPN-D2 (differentiating)",818,"Meis2",99.5,3.5991
"SPN-D2 (differentiating)",818,"Tshz1",14.2,0.2139
"SPN-D2 (differentiating)",818,"Etv1",2.3,0.0334
"SPN-D2 (differentiating)",818,"Pbx3",58.7,1.3071
"SPN-D2 (differentiating)",818,"Ebf1",10.9,0.2094
"SPN-D2 (differentiating)",818,"Isl1",3.3,0.0493
"SPN-D2 (differentiating)",818,"Rxrg",42.3,0.7114
"SPN-D2 (differentiating)",818,"Npy1r",2.2,0.0345
"SPN-D2 (differentiating)",818,"Dchs2",23.2,0.4065
"SPN-D2 (differentiating)",818,"Pde8b",7.7,0.1154
"SPN-D2 (differentiating)",818,"Drd2",41.1,0.6643
"SPN-D2 (differentiating)",818,"Penk",30.6,0.6281
"SPN-D2 (differentiating)",818,"Adora2a",23.8,0.3505
"SPN-D2 (differentiating)",818,"Six3",35.6,0.6591
"SPN-D2 (differentiating)",818,"Sox4",45.6,0.8233
"SPN-D2 (precursor-like)",287,"Mki67",1.4,0.0296
"SPN-D2 (precursor-like)",287,"Top2a",0.3,0.0055
"SPN-D2 (precursor-like)",287,"Eomes",0.7,0.0094
"SPN-D2 (precursor-like)",287,"Neurog2",0,0
"SPN-D2 (precursor-like)",287,"Btg2",1,0.0167
"SPN-D2 (precursor-like)",287,"Dlx1",25.8,0.4547
"SPN-D2 (precursor-like)",287,"Dlx2",6.3,0.1061
"SPN-D2 (precursor-like)",287,"Ascl1",0.7,0.0106
"SPN-D2 (precursor-like)",287,"Egfr",2.1,0.0385
"SPN-D2 (precursor-like)",287,"Olig2",0,0
"SPN-D2 (precursor-like)",287,"Bcan",0.7,0.0105
"SPN-D2 (precursor-like)",287,"Aqp4",0,0
"SPN-D2 (precursor-like)",287,"Aldh1l1",1.7,0.0285
"SPN-D2 (precursor-like)",287,"Clu",0.3,0.0045
"SPN-D2 (precursor-like)",287,"Slc1a3",6.3,0.1118
"SPN-D2 (precursor-like)",287,"Slco1c1",0.3,0.0062
"SPN-D2 (precursor-like)",287,"Mfge8",1.4,0.0239
"SPN-D2 (precursor-like)",287,"Pdgfra",0,0
"SPN-D2 (precursor-like)",287,"Cspg4",0,0
"SPN-D2 (precursor-like)",287,"Sox10",0,0
"SPN-D2 (precursor-like)",287,"Fezf2",2.1,0.0357
"SPN-D2 (precursor-like)",287,"Tle4",58.9,1.2315
"SPN-D2 (precursor-like)",287,"Ntsr1",3.8,0.0629
"SPN-D2 (precursor-like)",287,"Satb2",4.2,0.0795
"SPN-D2 (precursor-like)",287,"Cux1",50.2,0.9471
"SPN-D2 (precursor-like)",287,"Mef2c",41.1,0.867
"SPN-D2 (precursor-like)",287,"Reln",9.4,0.1744
"SPN-D2 (precursor-like)",287,"Trp73",1,0.0126
"SPN-D2 (precursor-like)",287,"Ndnf",0.7,0.0135
"SPN-D2 (precursor-like)",287,"Lhx6",0.7,0.0139
"SPN-D2 (precursor-like)",287,"Maf",0.7,0.0126
"SPN-D2 (precursor-like)",287,"Nxph1",8.4,0.1537
"SPN-D2 (precursor-like)",287,"Prox1",1,0.0183
"SPN-D2 (precursor-like)",287,"Htr3a",0,0
"SPN-D2 (precursor-like)",287,"Nr3c2",6.6,0.1144
"SPN-D2 (precursor-like)",287,"Lhx8",0.3,0.0051
"SPN-D2 (precursor-like)",287,"Nkx2-1",0.7,0.0097
"SPN-D2 (precursor-like)",287,"Cntnap5a",13.9,0.3036
"SPN-D2 (precursor-like)",287,"Adarb2",20.2,0.4216
"SPN-D2 (precursor-like)",287,"Nr2f2",1.4,0.0252
"SPN-D2 (precursor-like)",287,"Meis2",99.7,3.9666
"SPN-D2 (precursor-like)",287,"Tshz1",23.3,0.4262
"SPN-D2 (precursor-like)",287,"Etv1",1,0.0168
"SPN-D2 (precursor-like)",287,"Pbx3",31.7,0.751
"SPN-D2 (precursor-like)",287,"Ebf1",7,0.1289
"SPN-D2 (precursor-like)",287,"Isl1",5.9,0.113
"SPN-D2 (precursor-like)",287,"Rxrg",10.5,0.1625
"SPN-D2 (precursor-like)",287,"Npy1r",3.1,0.0458
"SPN-D2 (precursor-like)",287,"Dchs2",37.3,0.7136
"SPN-D2 (precursor-like)",287,"Pde8b",10.5,0.1741
"SPN-D2 (precursor-like)",287,"Drd2",33.1,0.6326
"SPN-D2 (precursor-like)",287,"Penk",22.6,0.4715
"SPN-D2 (precursor-like)",287,"Adora2a",11.5,0.203
"SPN-D2 (precursor-like)",287,"Six3",60.3,1.4037
"SPN-D2 (precursor-like)",287,"Sox4",58.2,1.1487
"Upper layer EN",3716,"Mki67",1.6,0.0254
"Upper layer EN",3716,"Top2a",2.4,0.0394
"Upper layer EN",3716,"Eomes",7.8,0.1724
"Upper layer EN",3716,"Neurog2",7,0.1126
"Upper layer EN",3716,"Btg2",2,0.0296
"Upper layer EN",3716,"Dlx1",3.1,0.0467
"Upper layer EN",3716,"Dlx2",0.8,0.0107
"Upper layer EN",3716,"Ascl1",2.8,0.0403
"Upper layer EN",3716,"Egfr",1.3,0.0206
"Upper layer EN",3716,"Olig2",0.6,0.0084
"Upper layer EN",3716,"Bcan",3.7,0.0554
"Upper layer EN",3716,"Aqp4",0.4,0.0069
"Upper layer EN",3716,"Aldh1l1",0.6,0.009
"Upper layer EN",3716,"Clu",1.4,0.0193
"Upper layer EN",3716,"Slc1a3",26.1,0.5351
"Upper layer EN",3716,"Slco1c1",5.2,0.103
"Upper layer EN",3716,"Mfge8",2.1,0.0312
"Upper layer EN",3716,"Pdgfra",1.1,0.0181
"Upper layer EN",3716,"Cspg4",0.4,0.0055
"Upper layer EN",3716,"Sox10",0.2,0.0028
"Upper layer EN",3716,"Fezf2",7,0.109
"Upper layer EN",3716,"Tle4",9.7,0.1464
"Upper layer EN",3716,"Ntsr1",16.2,0.2454
"Upper layer EN",3716,"Satb2",85.6,2.452
"Upper layer EN",3716,"Cux1",51.3,1.0529
"Upper layer EN",3716,"Mef2c",65.1,1.9059
"Upper layer EN",3716,"Reln",8.9,0.1431
"Upper layer EN",3716,"Trp73",0.2,0.0031
"Upper layer EN",3716,"Ndnf",1.8,0.0289
"Upper layer EN",3716,"Lhx6",0.9,0.0141
"Upper layer EN",3716,"Maf",1.7,0.0262
"Upper layer EN",3716,"Nxph1",7.2,0.126
"Upper layer EN",3716,"Prox1",2.2,0.0375
"Upper layer EN",3716,"Htr3a",0.1,0.0021
"Upper layer EN",3716,"Nr3c2",3.7,0.0595
"Upper layer EN",3716,"Lhx8",0.3,0.0042
"Upper layer EN",3716,"Nkx2-1",0.2,0.0026
"Upper layer EN",3716,"Cntnap5a",20.3,0.3835
"Upper layer EN",3716,"Adarb2",14.9,0.2778
"Upper layer EN",3716,"Nr2f2",7,0.1151
"Upper layer EN",3716,"Meis2",73.3,2.2057
"Upper layer EN",3716,"Tshz1",3.2,0.0511
"Upper layer EN",3716,"Etv1",3,0.046
"Upper layer EN",3716,"Pbx3",21.1,0.4341
"Upper layer EN",3716,"Ebf1",7.4,0.1289
"Upper layer EN",3716,"Isl1",1.9,0.03
"Upper layer EN",3716,"Rxrg",1.1,0.0158
"Upper layer EN",3716,"Npy1r",7.2,0.1031
"Upper layer EN",3716,"Dchs2",2.2,0.0336
"Upper layer EN",3716,"Pde8b",2.1,0.0272
"Upper layer EN",3716,"Drd2",0.5,0.008
"Upper layer EN",3716,"Penk",0.9,0.0126
"Upper layer EN",3716,"Adora2a",0.3,0.0039
"Upper layer EN",3716,"Six3",1.7,0.0249
"Upper layer EN",3716,"Sox4",63.1,1.1969
"Ventral IPC",544,"Mki67",77,1.7272
"Ventral IPC",544,"Top2a",73.3,1.6236
"Ventral IPC",544,"Eomes",2.4,0.0349
"Ventral IPC",544,"Neurog2",2.4,0.0291
"Ventral IPC",544,"Btg2",11,0.1723
"Ventral IPC",544,"Dlx1",77.8,1.9701
"Ventral IPC",544,"Dlx2",39.7,0.6741
"Ventral IPC",544,"Ascl1",34.4,0.6774
"Ventral IPC",544,"Egfr",22.1,0.4224
"Ventral IPC",544,"Olig2",11.8,0.1744
"Ventral IPC",544,"Bcan",11,0.1586
"Ventral IPC",544,"Aqp4",1.7,0.0241
"Ventral IPC",544,"Aldh1l1",2.8,0.0317
"Ventral IPC",544,"Clu",2.4,0.0259
