# Authoritative membership for the 10 gene sets displayed in Figure 3B-D.
# Direct rows use org.Mm.eg.db 3.20.0, keytype='GO' (not GOALL),
# Entrez/GO source date 2024-Sep20. The cell-cycle row is the recovered
# 94-gene mouse-symbol Tirosh 2016 S+G2/M set used in the analysis.
# One row per unique set-member gene; this table is the frozen input to
# compute_figure3_tables.py and removes annotation-release ambiguity.
#
panel,gene_set,category,go_id,annotation,canonical_fraction,source_release,gene
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dscam
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dscaml1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Dvl1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ece1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Edn1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Edn3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ednra
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efna1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efna2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efna3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efna4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efna5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efnb1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efnb2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Efnb3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Emb
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Enah
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha10
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha6
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha7
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Epha8
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ephb1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ephb2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ephb3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ephb6
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Etv1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Evl
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ext1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Fezf1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Flot1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Flrt2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Flrt3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Foxd1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gap43
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gas1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gata3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gbx2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gdf7
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gfra3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gli2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Gli3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Hspg2
