# Figure 3 gene-set battery on the installed 18-class scheme, 13 classes.
# 121 of 130 combinations tested; the rest fall below the 15-gene floor and are NA.
# Permutation against size-matched random gene sets drawn from the same class's
#   own DE table, 4,000 draws, per-(set, class) seed derived from master seed 3.
# z_vs_random is the effect: mean log2FC of the set minus the null mean, in null SDs.
# BH is across tested combinations only. One library per genotype: nuclei are
#   pseudoreplicates, so these P values describe how reliably the two libraries differ.
gene_set,category,go_id,annotation,canonical_fraction,cell_type,family,n_genes_in_set,n_genes_tested,test_status,mean_log2FC,z_vs_random,perm_p,significant,significant_FDR_q05,q_value_BH
Cell adhesion,Adhesion,GO:0007155,direct GO,0.58,SPN-D1 (precursor-like),Ventral projection,444,90,tested,-0.106,-0.336,0.7326,False,False,0.8988
Cell adhesion,Adhesion,GO:0007155,direct GO,0.58,SPN-D1 (differentiating),Ventral projection,444,97,tested,-0.0467,0.237,0.8005,False,False,0.9138
Cell adhesion,Adhesion,GO:0007155,direct GO,0.58,SPN-D2 (differentiating),Ventral projection,444,92,tested,-0.1019,-0.569,0.5476,False,False,0.8605
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,Ventral IPC,Progenitor,161,71,tested,-0.2076,-2.268,0.0265,True,False,0.2083
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,Gliogenic RG,Progenitor,161,68,tested,-0.178,-2.551,0.013,True,False,0.143
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,Immature Astrocytes,Glial,161,74,tested,-0.0601,-1.544,0.1202,False,False,0.4408
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,OPC,Glial,161,80,tested,-0.113,-1.763,0.0807,False,False,0.3564
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,Deep layer EN,Dorsal excitatory,161,87,tested,-0.0498,-1.111,0.2537,False,False,0.606
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,Upper layer EN,Dorsal excitatory,161,80,tested,-0.1983,-4.129,0.002,True,False,0.121
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,MGE-IN,Ventral interneuron,161,80,tested,-0.1641,-2.574,0.0092,True,False,0.1399
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,CGE-IN,Ventral interneuron,161,78,tested,-0.0689,-0.44,0.6601,False,False,0.8988
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,"GABAergic IN, origin unassigned",Ventral interneuron,161,95,tested,-0.0874,-1.792,0.0707,False,False,0.3423
